぀ : 0              , ぁ : 6754           , あ : 131288         , ぃ : 23996          , 
い : 576939         , ぅ : 1163           , う : 429856         , ぇ : 12515          , え : 118193         , 
ぉ : 5997           , お : 91339          , か : 249304         , が : 140291         , き : 171557         , 
ぎ : 80052          , く : 319607         , ぐ : 31394          , け : 65792          , げ : 29112          , 
こ : 162061         , ご : 135629         , さ : 161046         , ざ : 18267          , し : 397853         , 
じ : 121337         , す : 199393         , ず : 26306          , せ : 92887          , ぜ : 13989          , 
そ : 55320          , ぞ : 13964          , た : 213641         , だ : 129178         , ち : 94655          , 
ぢ : 75             , っ : 143077         , つ : 173234         , づ : 4325           , て : 210827         , 
で : 175914         , と : 258510         , ど : 92530          , な : 166999         , に : 301524         , 
ぬ : 4399           , ね : 49336          , の : 340618         , は : 187235         , ば : 53501          , 
ぱ : 20511          , ひ : 39080          , び : 24509          , ぴ : 13764          , ふ : 54177          , 
ぶ : 50292          , ぷ : 24726          , へ : 13751          , べ : 23113          , ぺ : 6986           , 
ほ : 142336         , ぼ : 19138          , ぽ : 13698          , ま : 122134         , み : 51147          , 
む : 34320          , め : 60015          , も : 87323          , ゃ : 42828          , や : 94137          , 
ゅ : 90377          , ゆ : 19056          , ょ : 174698         , よ : 67561          , ら : 117974         , 
り : 147670         , る : 218154         , れ : 119056         , ろ : 48612          , ゎ : 5              , 
わ : 47538          , ゐ : 8              , ゑ : 1              , を : 171974         , ん : 584711         , 
ゔ : 3948           , ゕ : 39             , ゖ : 321            , ゗ : 0              , ゘ : 0              , 
゙ : 3              , ゚ : 0              , ゛ : 0              , ゜ : 0              , ゝ : 9              , 
ゞ : 5              , ゟ : 0              , 
゠ : 0              , ァ : 6420           , ア : 52383          , ィ : 23980          , 
イ : 58606          , ゥ : 1147           , ウ : 19086          , ェ : 12341          , エ : 13702          , 
ォ : 5970           , オ : 18278          , カ : 29169          , ガ : 8834           , キ : 15771          , 
ギ : 6383           , ク : 43310          , グ : 22958          , ケ : 8181           , ゲ : 4545           , 
コ : 19098          , ゴ : 5931           , サ : 15892          , ザ : 4596           , シ : 33064          , 
ジ : 26298          , ス : 81839          , ズ : 13853          , セ : 8930           , ゼ : 2062           , 
ソ : 8405           , ゾ : 1244           , タ : 31614          , ダ : 12378          , チ : 19345          , 
ヂ : 18             , ッ : 51644          , ツ : 8536           , ヅ : 14             , テ : 23131          , 
デ : 20387          , ト : 65540          , ド : 38521          , ナ : 14563          , ニ : 16975          , 
ヌ : 1191           , ネ : 9218           , ノ : 6138           , ハ : 9325           , バ : 21130          , 
パ : 15383          , ヒ : 3980           , ビ : 13240          , ピ : 8359           , フ : 32117          , 
ブ : 17287          , プ : 23971          , ヘ : 2633           , ベ : 10447          , ペ : 6107           , 
ホ : 4869           , ボ : 10088          , ポ : 8495           , マ : 23979          , ミ : 11196          , 
ム : 21460          , メ : 16994          , モ : 8153           , ャ : 16361          , ヤ : 4100           , 
ュ : 14840          , ユ : 2370           , ョ : 10854          , ヨ : 3039           , ラ : 51549          , 
リ : 58007          , ル : 72475          , レ : 26895          , ロ : 27586          , ヮ : 4              , 
ワ : 7922           , ヰ : 1              , ヱ : 1              , ヲ : 8              , ン : 128492         , 
ヴ : 3948           , ヵ : 39             , ヶ : 392            , ヷ : 0              , ヸ : 0              , 
ヹ : 0              , ヺ : 0              , ・ : 0              , ー : 179902         , ヽ : 0              , 
ヾ : 0              , ヿ : 0              , 
a : 1959656        , b : 170629         , c : 94655          , d : 401276         , 
e : 1010267        , f : 54497          , g : 417639         , h : 875199         , i : 1774348        , 
j : 122356         , k : 1000744        , l : 0              , m : 354939         , n : 1447595        , 
o : 1921544        , p : 99676          , q : 0              , r : 651582         , s : 1105256        , 
t : 925911         , u : 1701047        , v : 3948           , w : 219517         , x : 0              , 
y : 270723         , z : 77040          , 
始 : 2539           , 全 : 4353           , 部 : 6984           , 何 : 25434          , 
文 : 4900           , 字 : 2635           , 人 : 24237          , 気 : 7163           , 漫 : 424            , 
画 : 4686           , 登 : 1600           , 場 : 9135           , 物 : 12026          , 苗 : 111            , 
