語 : 14504099       日 : 9757112        本 : 9014383        次 : 7273480        訳 : 6622597        
翻 : 6593635        英 : 6420943        年 : 2581511        力 : 2553581        分 : 1953278        
部 : 1949106        入 : 1885972        明 : 1646136        説 : 1514302        出 : 1438405        
文 : 1360185        人 : 1197760        間 : 1194255        月 : 1184527        大 : 1167017        
学 : 990202         正 : 907864         国 : 906053         一 : 854801         直 : 819974         
違 : 799414         中 : 779239         行 : 761003         会 : 684741         作 : 659728         
事 : 621322         時 : 614143         市 : 600477         生 : 591257         者 : 584495         
名 : 568902         合 : 566103         彼 : 551047         下 : 548755         地 : 546354         
的 : 543189         子 : 542029         代 : 533376         上 : 529674         手 : 524015         
発 : 518591         教 : 511032         以 : 500289         県 : 493555         家 : 490155         
私 : 489426         用 : 482425         後 : 479772         言 : 474353         前 : 469650         
見 : 447725         社 : 438484         場 : 428416         長 : 427346         自 : 422825         
物 : 421049         女 : 415453         立 : 407368         同 : 400592         何 : 400060         
動 : 398342         所 : 397226         道 : 389264         東 : 385332         高 : 382005         
意 : 379745         目 : 379160         戦 : 377371         方 : 373284         山 : 368779         
成 : 363629         業 : 363222         体 : 358615         現 : 355597         定 : 352830         
性 : 344282         主 : 343477         世 : 340186         最 : 338751         小 : 336830         
開 : 336608         在 : 334306         全 : 323923         通 : 323212         田 : 319641         
理 : 316153         身 : 315807         化 : 311979         画 : 310276         関 : 308888         
知 : 304055         法 : 303441         味 : 299072         内 : 296420         来 : 293201         
選 : 293056         表 : 292361         当 : 291897         第 : 291086         気 : 289770         
新 : 287555         校 : 285524         機 : 285411         川 : 283244         実 : 280953         
多 : 278171         対 : 270237         野 : 268229         車 : 266785         和 : 266775         
連 : 264940         記 : 264325         元 : 264186         公 : 263874         数 : 262903         
品 : 256798         島 : 253187         北 : 252176         使 : 250761         線 : 249854         
初 : 248794         持 : 246636         話 : 245628         海 : 244939         期 : 239009         
町 : 238985         政 : 238842         放 : 237146         度 : 236315         設 : 236150         
神 : 234721         軍 : 233232         要 : 233062         原 : 231741         京 : 231478         
都 : 230441         送 : 230410         位 : 229074         州 : 225751         治 : 223447         
組 : 222543         番 : 220831         式 : 220003         区 : 219166         置 : 218928         
取 : 217885         特 : 217734         思 : 216069         民 : 215121         回 : 213082         
金 : 212413         界 : 210363         号 : 209355         今 : 209113         平 : 208117         
属 : 205394         外 : 204901         電 : 202484         書 : 202347         員 : 200240         
三 : 198437         水 : 197266         西 : 196717         売 : 195522         結 : 195369         
務 : 193994         不 : 193707         共 : 192304         能 : 192061         心 : 190704         
形 : 189449         称 : 186482         制 : 185635         信 : 185392         南 : 184293         
経 : 182730         活 : 182477         変 : 182019         駅 : 178649         無 : 178531         
楽 : 178312         有 : 177808         運 : 176460         空 : 176169         指 : 175797         
呼 : 174585         王 : 173762         受 : 173385         音 : 169256         二 : 169211         
映 : 168545         議 : 167388         重 : 167371         村 : 166604         面 : 166108         
際 : 166028         加 : 165025         優 : 162148         等 : 160694         解 : 160339         
君 : 156343         始 : 155472         近 : 155291         男 : 155138         口 : 154129         
科 : 152838         院 : 152238         曲 : 151939         別 : 151492         死 : 150236         
